date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),RSI,SMA,MACD,CMO,ATR,BBANDS_upper,BBANDS_mid,BBANDS_lower
2018-01-02,36.043557207002685,35.719424498306616,36.043557207002685,35.719424498306616,12.0,294337.0,6.11,0.0,0.0,0.0,0.0,50.224040046103546,50.224040046103546,50.224040046103546,50.224040046103546,50.224040046103546,28.177245830004793,27.869999999999845,27.562754169994896
2018-01-03,35.78425104004583,36.43251645743797,36.43251645743797,35.78425104004583,18.0,860100.0,6.11,0.0,0.0,0.0,0.0,46.03436587954219,46.03436587954219,46.03436587954219,46.03436587954219,46.03436587954219,28.03532998333209,27.769999999999847,27.504670016667603
2018-01-04,35.46011833134977,35.913904123524254,35.913904123524254,35.46011833134977,24.0,1075335.0,6.11,0.0,0.0,0.0,0.0,41.38680390250345,41.38680390250345,41.38680390250345,41.38680390250345,41.38680390250345,27.958747549096998,27.639999999999844,27.32125245090269
2018-01-05,35.719424498306616,35.46011833134977,36.043557207002685,35.46011833134977,19.0,525034.0,6.11,0.0,0.0,0.0,0.0,46.077007355390656,46.077007355390656,46.077007355390656,46.077007355390656,46.077007355390656,27.903315017852773,27.599999999999845,27.296684982146918
2018-01-08,35.6545979565674,35.719424498306616,35.719424498306616,35.58977141482819,9.0,366303.0,6.11,0.0,0.0,0.0,0.0,45.10527140332093,45.10527140332093,45.10527140332093,45.10527140332093,45.10527140332093,27.852574776861793,27.559999999999842,27.26742522313789
2018-01-09,36.1083837487419,35.78425104004583,36.30286337395954,35.719424498306616,21.0,550912.0,6.11,0.0,0.0,0.0,0.0,52.63537323459248,52.63537323459248,52.63537323459248,52.63537323459248,52.63537323459248,27.896190128690375,27.569999999999844,27.243809871309313
2018-01-10,36.30286337395954,36.43251645743797,36.56216954091639,36.17321029048111,26.0,1035750.0,6.11,0.0,0.0,0.0,0.0,55.45552176032802,55.45552176032802,55.45552176032802,55.45552176032802,55.45552176032802,28.12749345550959,27.649999999999846,27.1725065444901
2018-01-11,36.49734299917718,36.30286337395954,37.0807818748301,36.30286337395954,34.0,1462372.0,6.11,0.0,0.0,0.0,0.0,58.13966242530596,58.13966242530596,58.13966242530596,58.13966242530596,58.13966242530596,28.313587132534153,27.80999999999985,27.306412867465546
2018-01-12,36.62699608265561,36.56216954091639,36.62699608265561,36.30286337395954,20.0,714020.0,6.11,0.0,0.0,0.0,0.0,59.87552056690466,59.87552056690466,59.87552056690466,59.87552056690466,59.87552056690466,28.475357021513318,27.949999999999854,27.42464297848639
2018-01-15,36.43251645743797,36.62699608265561,36.62699608265561,36.43251645743797,9.0,178957.0,6.11,0.0,0.0,0.0,0.0,56.11647305889667,56.11647305889667,56.11647305889667,56.11647305889667,56.11647305889667,28.342763634038707,28.06999999999985,27.797236365960995
2018-01-16,36.43251645743797,36.43251645743797,36.43251645743797,36.43251645743797,7.0,143288.0,6.11,0.0,0.0,0.0,0.0,56.11647305889667,56.11647305889667,56.11647305889667,56.11647305889667,56.11647305889667,28.282480768259695,28.119999999999852,27.957519231740008
