date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),RSI,SMA,MACD,CMO,ATR,BBANDS_upper,BBANDS_mid,BBANDS_lower
2018-10-03,56.6,57.0,57.0,56.5,53.0,3515483.0,0.02,0.0,0.0,0.0,0.0,38.72549019607843,38.72549019607843,38.72549019607843,38.72549019607843,38.72549019607843,57.96057131200112,56.56,55.15942868799888
2018-10-04,56.9,56.6,57.0,55.0,88.0,7317500.0,0.02,-2000.0,0.0,0.0,0.0,39.680772086117294,39.680772086117294,39.680772086117294,39.680772086117294,39.680772086117294,57.64587530817528,56.86,56.07412469182472
2018-10-05,54.5,56.0,56.0,54.0,130.0,10845545.0,0.02,0.0,0.0,0.0,0.0,34.982127573881094,34.982127573881094,34.982127573881094,34.982127573881094,34.982127573881094,58.488429355815484,56.42,54.35157064418452
2018-10-08,54.8,54.5,55.7,53.7,70.0,3972212.0,0.02,1000.0,0.0,0.0,0.0,36.002249032725324,36.002249032725324,36.002249032725324,36.002249032725324,36.002249032725324,57.862398561725264,55.86,53.857601438274735
2018-10-09,53.7,55.5,55.5,53.6,70.0,4845857.0,0.02,0.0,0.0,0.0,0.0,33.90186443003908,33.90186443003908,33.90186443003908,33.90186443003908,33.90186443003908,57.781934729198504,55.3,52.81806527080149
2018-10-11,48.7,48.65,50.0,48.35,174.0,11785456.0,0.02,0.0,0.0,0.0,0.0,26.37082510621424,26.37082510621424,26.37082510621424,26.37082510621424,26.37082510621424,59.16705424977567,53.720000000000006,48.272945750224345
2018-10-12,50.1,47.2,51.0,47.1,84.0,5451100.0,0.03,6000.0,0.0,1000.0,0.0,30.993207682727338,30.993207682727338,30.993207682727338,30.993207682727338,30.993207682727338,57.32644742245421,52.36,47.39355257754579
2018-10-15,51.0,50.0,52.0,49.0,35.0,1809154.0,0.03,0.0,0.0,0.0,0.0,33.867494402429905,33.867494402429905,33.867494402429905,33.867494402429905,33.867494402429905,56.190077262034286,51.660000000000004,47.12992273796572
2018-10-16,51.4,51.5,53.1,50.8,65.0,8266330.0,0.02,-4000.0,0.0,1000.0,0.0,35.160148784743974,35.160148784743974,35.160148784743974,35.160148784743974,35.160148784743974,54.27217253496845,50.980000000000004,47.68782746503156
2018-10-17,51.4,52.1,52.8,51.4,44.0,2390500.0,0.02,-1000.0,0.0,0.0,0.0,35.160148784743974,35.160148784743974,35.160148784743974,35.160148784743974,35.160148784743974,52.57290038725808,50.519999999999996,48.46709961274191
2018-10-18,51.0,49.6,51.2,49.6,10.0,409700.0,0.02,-2000.0,0.0,0.0,0.0,34.38076327651485,34.38076327651485,34.38076327651485,34.38076327651485,34.38076327651485,51.92994736696539,50.98,50.0300526330346
2018-10-19,50.9,50.0,50.9,49.4,21.0,1248600.0,0.02,0.0,0.0,0.0,0.0,34.17679732433652,34.17679732433652,34.17679732433652,34.17679732433652,34.17679732433652,51.57081318457158,51.14,50.709186815428424
2018-10-22,50.3,50.1,50.8,49.9,23.0,1655800.0,0.02,0.0,0.0,0.0,0.0,32.91504937457213,32.91504937457213,32.91504937457213,32.91504937457213,32.91504937457213,51.809938269253195,51.0,50.190061730746805
2018-10-23,49.0,49.7,49.7,48.6,32.0,1818708.0,0.02,0.0,0.0,0.0,0.0,30.304537404238925,30.304537404238925,30.304537404238925,30.304537404238925,30.304537404238925,52.19523132731068,50.519999999999996,48.84476867268931
2018-10-24,48.0,49.0,49.0,47.4,43.0,2306900.0,0.02,0.0,0.0,0.0,0.0,28.436245369884023,28.436245369884023,28.436245369884023,28.436245369884023,28.436245369884023,52.16757384415672,49.839999999999996,47.51242615584327
2018-10-25,46.2,46.0,47.0,45.4,50.0,3252050.0,0.02,0.0,0.0,0.0,0.0,25.400679717550368,25.400679717550368,25.400679717550368,25.400679717550368,25.400679717550368,52.23475781540239,48.879999999999995,45.5252421845976
2018-10-26,46.1,46.4,47.2,46.0,36.0,1898350.0,0.02,0.0,0.0,0.0,0.0,25.239481592591417,25.239481592591417,25.239481592591417,25.239481592591417,25.239481592591417,51.15827114368198,47.919999999999995,44.68172885631801
2018-10-29,46.3,46.2,46.5,46.2,29.0,1625124.0,0.02,0.0,0.0,0.0,0.0,26.247586120924716,26.247586120924716,26.247586120924716,26.247586120924716,26.247586120924716,49.46401365183806,47.11999999999999,44.77598634816192
2018-10-30,46.5,46.1,46.8,46.0,26.0,1257299.0,0.02,0.0,0.0,0.0,0.0,27.30326743909809,27.30326743909809,27.30326743909809,27.30326743909809,27.30326743909809,48.025133445621655,46.61999999999999,45.214866554378325
2018-10-31,47.2,47.6,48.0,47.2,30.0,1718900.0,0.02,1000.0,0.0,0.0,0.0,31.024641215544413,31.024641215544413,31.024641215544413,31.024641215544413,31.024641215544413,47.24587530817758,46.459999999999994,45.674124691822406
2018-11-01,49.4,47.7,49.4,47.4,42.0,2277550.0,0.02,2000.0,0.0,-1000.0,0.0,41.21049682926935,41.21049682926935,41.21049682926935,41.21049682926935,41.21049682926935,49.516609194719315,47.099999999999994,44.68339080528067
2018-11-02,49.1,49.6,50.3,49.0,28.0,1485550.0,0.02,-1000.0,0.0,0.0,0.0,40.33576071582219,40.33576071582219,40.33576071582219,40.33576071582219,40.33576071582219,50.307680962081264,47.699999999999996,45.09231903791873
2018-11-05,49.2,49.5,49.5,49.2,3.0,147900.0,0.02,0.0,0.0,0.0,0.0,40.78694101987006,40.78694101987006,40.78694101987006,40.78694101987006,40.78694101987006,50.66461736972632,48.279999999999994,45.895382630273666
2018-11-06,49.1,49.0,49.2,48.6,12.0,4196950.0,0.02,0.0,0.0,0.0,0.0,40.457468337939375,40.457468337939375,40.457468337939375,40.457468337939375,40.457468337939375,50.41493033905496,48.8,47.18506966094503
2018-11-07,49.2,49.1,49.8,49.1,14.0,641652.0,0.02,0.0,0.0,0.0,0.0,40.970977915426374,40.970977915426374,40.970977915426374,40.970977915426374,40.970977915426374,49.419089023007764,49.19999999999999,48.98091097699221
2018-11-08,50.1,49.9,50.1,49.2,37.0,2040750.0,0.02,0.0,0.0,0.0,0.0,45.52452150437839,45.52452150437839,45.52452150437839,45.52452150437839,45.52452150437839,50.10524505878976,49.33999999999999,48.574754941210216
2018-11-09,49.05,50.1,50.1,49.05,12.0,742850.0,0.02,0.0,0.0,0.0,0.0,41.502117921763556,41.502117921763556,41.502117921763556,41.502117921763556,41.502117921763556,50.10871689335996,49.329999999999984,48.55128310664001
2018-11-12,48.9,49.55,49.55,48.9,19.0,1374350.0,0.02,0.0,0.0,0.0,0.0,40.94553048585398,40.94553048585398,40.94553048585398,40.94553048585398,40.94553048585398,50.122291030108364,49.26999999999999,48.41770896989161
2018-11-13,48.0,46.5,48.5,46.5,22.0,1347300.0,0.02,1000.0,0.0,0.0,0.0,37.680302895376556,37.680302895376556,37.680302895376556,37.680302895376556,37.680302895376556,50.39164078650095,49.04999999999999,47.70835921349903
2018-11-14,49.6,48.1,50.0,48.1,48.0,3873750.0,0.02,0.0,0.0,-1000.0,0.0,45.93473909453888,45.93473909453888,45.93473909453888,45.93473909453888,45.93473909453888,50.54364776376656,49.12999999999999,47.71635223623342
2018-11-15,48.65,49.55,49.55,48.4,38.0,2190000.0,0.02,-1000.0,0.0,0.0,0.0,42.34812558811004,42.34812558811004,42.34812558811004,42.34812558811004,42.34812558811004,49.88575331699391,48.83999999999999,47.794246683006065
2018-11-16,48.65,49.2,49.2,48.4,32.0,1656003.0,0.02,0.0,0.0,0.0,0.0,42.34812558811004,42.34812558811004,42.34812558811004,42.34812558811004,42.34812558811004,49.79033974979086,48.76,47.729660250209136
2018-11-19,49.1,48.7,49.1,48.7,12.0,1026700.0,0.03,3000.0,0.0,0.0,0.0,44.719360912545106,44.719360912545106,44.719360912545106,44.719360912545106,44.719360912545106,49.863954886260586,48.8,47.73604511373941
2018-11-20,48.8,48.5,48.8,48.0,17.0,869700.0,0.03,0.0,0.0,0.0,0.0,43.43670111464831,43.43670111464831,43.43670111464831,43.43670111464831,43.43670111464831,49.67944422994365,48.959999999999994,48.24055577005634
2018-11-21,48.8,48.9,49.2,48.65,41.0,2153052.0,0.02,-1000.0,0.0,0.0,0.0,43.4367011146483,43.4367011146483,43.4367011146483,43.4367011146483,43.4367011146483,49.12863353450336,48.79999999999999,48.47136646549662
2018-11-22,48.55,48.8,49.0,48.55,38.0,2290350.0,0.02,0.0,0.0,0.0,0.0,42.265083882885754,42.265083882885754,42.265083882885754,42.265083882885754,42.265083882885754,49.15202150475451,48.77999999999999,48.407978495245466
2018-11-23,48.5,48.65,48.9,48.5,23.0,1215550.0,0.02,0.0,0.0,0.0,0.0,42.02096039340743,42.02096039340743,42.02096039340743,42.02096039340743,42.02096039340743,49.17895221179182,48.749999999999986,48.321047788208155
2018-11-26,48.8,48.7,48.8,48.55,14.0,777400.0,0.03,1000.0,0.0,0.0,0.0,44.10699369449008,44.10699369449008,44.10699369449008,44.10699369449008,44.10699369449008,48.96129319932782,48.68999999999998,48.41870680067215
2018-11-27,49.2,48.5,49.2,48.5,32.0,2057250.0,0.03,1000.0,0.0,0.0,0.0,46.85270459980301,46.85270459980301,46.85270459980301,46.85270459980301,46.85270459980301,49.26638694584144,48.76999999999998,48.273613054158524
2018-11-28,49.45,49.0,49.45,48.65,48.0,4364500.0,0.04,7000.0,0.0,0.0,0.0,48.553749464342545,48.553749464342545,48.553749464342545,48.553749464342545,48.553749464342545,49.64027022093577,48.89999999999998,48.159729779064186
2018-11-29,49.6,50.0,50.9,49.6,117.0,7723850.0,0.04,1000.0,0.0,-5000.0,0.0,49.596149101141215,49.596149101141215,49.596149101141215,49.596149101141215,49.596149101141215,49.92584312218055,49.10999999999997,48.29415687781939
2018-11-30,50.0,49.6,50.2,49.3,50.0,3044362.0,0.05,2000.0,0.0,-3000.0,0.0,52.367776185737604,52.367776185737604,52.367776185737604,52.367776185737604,52.367776185737604,50.210999375783935,49.409999999999975,48.609000624216016
2018-12-03,51.7,50.7,52.2,50.7,138.0,9407255.0,0.05,5000.0,0.0,0.0,0.0,61.94529566460801,61.94529566460801,61.94529566460801,61.94529566460801,61.94529566460801,51.77706463229725,49.989999999999974,48.2029353677027
2018-12-04,52.5,52.1,54.2,51.9,150.0,11897400.0,0.04,-8000.0,0.0,0.0,0.0,65.46449410951773,65.46449410951773,65.46449410951773,65.46449410951773,65.46449410951773,53.097856204928206,50.64999999999998,48.20214379507175
2018-12-05,52.0,52.0,52.0,50.5,48.0,3199300.0,0.04,-1000.0,0.0,0.0,0.0,61.6284686392415,61.6284686392415,61.6284686392415,61.6284686392415,61.6284686392415,53.452945703675596,51.15999999999998,48.86705429632437
2018-12-06,50.1,51.4,51.4,50.0,68.0,4406400.0,0.03,-7000.0,0.0,0.0,0.0,49.70851126214092,49.70851126214092,49.70851126214092,49.70851126214092,49.70851126214092,53.30195984289806,51.25999999999998,49.218040157101896
2018-12-07,50.9,50.5,51.3,50.5,24.0,1528100.0,0.03,0.0,0.0,0.0,0.0,53.76358322090311,53.76358322090311,53.76358322090311,53.76358322090311,53.76358322090311,53.135169608035724,51.439999999999976,49.74483039196423
2018-12-10,50.8,50.9,50.9,50.0,31.0,1163503.0,0.03,0.0,0.0,0.0,0.0,53.18628735760762,53.18628735760762,53.18628735760762,53.18628735760762,53.18628735760762,52.997124060050524,51.25999999999998,49.52287593994943
2018-12-11,50.8,51.0,51.0,49.9,30.0,1555916.0,0.03,1000.0,0.0,0.0,0.0,53.18628735760761,53.18628735760761,53.18628735760761,53.18628735760761,53.18628735760761,52.14245654319619,50.91999999999998,49.69754345680377
2018-12-12,50.0,50.8,50.9,50.0,66.0,3272180.0,0.03,2000.0,0.0,3000.0,0.0,48.36764659560915,48.36764659560915,48.36764659560915,48.36764659560915,48.36764659560915,51.293563184235374,50.51999999999998,49.74643681576459
2018-12-13,50.4,50.1,50.6,49.95,31.0,1712218.0,0.04,5000.0,0.0,0.0,0.0,50.76932763425448,50.76932763425448,50.76932763425448,50.76932763425448,50.76932763425448,51.25409198185584,50.579999999999984,49.90590801814413
2018-12-14,50.9,50.7,52.5,50.0,41.0,2639500.0,0.04,0.0,0.0,0.0,0.0,53.6703251525031,53.6703251525031,53.6703251525031,53.6703251525031,53.6703251525031,51.25409198185584,50.579999999999984,49.90590801814413
2018-12-17,50.3,50.3,50.5,50.2,19.0,855710.0,0.04,0.0,0.0,0.0,0.0,49.87246999800895,49.87246999800895,49.87246999800895,49.87246999800895,49.87246999800895,51.14211781429329,50.47999999999998,49.81788218570667
2018-12-18,49.6,50.3,50.3,49.5,34.0,1646900.0,0.03,-3000.0,0.0,0.0,0.0,45.80048886171568,45.80048886171568,45.80048886171568,45.80048886171568,45.80048886171568,51.103481325799116,50.23999999999998,49.376518674200845
2018-12-19,49.5,49.6,49.6,49.0,35.0,1578150.0,0.03,-4000.0,0.0,0.0,0.0,45.232316178204925,45.232316178204925,45.232316178204925,45.232316178204925,45.232316178204925,51.18766406829888,50.13999999999998,49.09233593170108
2018-12-20,48.6,48.7,48.75,48.55,17.0,826950.0,0.03,0.0,0.0,0.0,0.0,40.37745944092836,40.37745944092836,40.37745944092836,40.37745944092836,40.37745944092836,51.33640611666964,49.77999999999998,48.22359388333032
2018-12-21,47.9,47.7,48.1,47.5,50.0,2624869.0,0.02,-3000.0,0.0,0.0,0.0,37.046882480267534,37.046882480267534,37.046882480267534,37.046882480267534,37.046882480267534,50.85523132731175,49.17999999999998,47.50476867268821
2018-12-22,49.2,47.2,50.4,47.2,33.0,2056350.0,0.02,0.0,0.0,0.0,0.0,45.96169470903367,45.96169470903367,45.96169470903367,45.96169470903367,45.96169470903367,50.22870012217434,48.95999999999998,47.69129987782562
2018-12-24,49.4,49.4,49.4,48.8,20.0,933358.0,0.02,0.0,0.0,0.0,0.0,47.20048061157659,47.20048061157659,47.20048061157659,47.20048061157659,47.20048061157659,50.11599331102081,48.91999999999998,47.72400668897915
2018-12-25,48.75,49.0,49.2,48.5,20.0,2877366.0,0.02,-1000.0,0.0,0.0,0.0,43.69465063999105,43.69465063999105,43.69465063999105,43.69465063999105,43.69465063999105,49.816135746452325,48.76999999999998,47.72386425354764
2018-12-26,48.55,49.9,49.9,48.55,14.0,586006.0,0.02,0.0,0.0,0.0,0.0,42.64507289787651,42.64507289787651,42.64507289787651,42.64507289787651,42.64507289787651,49.813375526584416,48.75999999999998,47.70662447341554
