date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),RSI,SMA,MACD,CMO,ATR,BBANDS_upper,BBANDS_mid,BBANDS_lower
2025-06-17,98.0,98.5,99.0,93.0,1292.0,115702910.0,0.42,7000.0,0.0,0.0,0.0,74.65224111282843,74.65224111282843,74.65224111282843,74.65224111282843,74.65224111282843,108.42566722809964,101.4,94.37433277190037
2025-06-18,107.5,101.5,107.5,99.1,2603.0,220039081.0,0.73,109000.0,0.0,1393.0,0.0,78.11313006878143,78.11313006878143,78.11313006878143,78.11313006878143,78.11313006878143,111.12403840463597,103.0,94.87596159536403
2025-06-19,115.0,109.5,118.0,109.0,7281.0,337738142.0,0.84,37120.0,0.0,-22393.0,0.0,80.38957639051036,80.38957639051036,80.38957639051036,80.38957639051036,80.38957639051036,117.17616793781042,104.6,92.02383206218957
2025-06-20,116.0,110.5,120.0,107.5,2591.0,257637722.0,0.58,-88900.0,0.0,-7892.0,0.0,80.67814297642228,80.67814297642228,80.67814297642228,80.67814297642228,80.67814297642228,122.45315501766558,107.0,91.54684498233442
