date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),RSI,SMA,MACD,CMO,ATR,BBANDS_upper,BBANDS_mid,BBANDS_lower
2018-01-02,49.11394319409155,48.98833208617827,49.17674874804818,48.98833208617827,24.0,1213407.0,14.55,3000.0,0.0,0.0,0.0,46.91890045537288,46.91890045537288,46.91890045537288,46.91890045537288,46.91890045537288,39.402982212824824,39.14999999999996,38.8970177871751
2018-01-03,49.30235985596146,49.11394319409155,49.61638762574466,48.86272097826499,44.0,2855439.0,14.55,3000.0,0.0,0.0,0.0,48.85853759690219,48.85853759690219,48.85853759690219,48.85853759690219,48.85853759690219,39.37151673806796,39.139999999999965,38.90848326193197
2018-01-04,48.48588765452516,49.3651654099181,49.3651654099181,48.423082100568514,75.0,4118206.0,14.55,0.0,0.0,0.0,0.0,41.74071378555503,41.74071378555503,41.74071378555503,41.74071378555503,41.74071378555503,39.547995983926405,39.04999999999996,38.55200401607352
2018-01-05,48.79991542430835,48.48588765452516,48.86272097826499,48.48588765452516,29.0,1367704.0,14.55,-1000.0,0.0,0.0,0.0,45.056124917414095,45.056124917414095,45.056124917414095,45.056124917414095,45.056124917414095,39.40452221542546,38.959999999999965,38.51547778457447
2018-01-08,48.73710987035171,48.67430431639507,48.79991542430835,48.61149876243844,40.0,2170483.0,14.55,-1000.0,0.0,0.0,0.0,44.510555614229965,44.510555614229965,44.510555614229965,44.510555614229965,44.510555614229965,39.378693797656,38.91999999999996,38.46130620234392
2018-01-09,48.48588765452516,48.67430431639507,48.86272097826499,48.48588765452516,43.0,2029226.0,14.53,-9000.0,0.0,0.0,0.0,42.303964654446695,42.303964654446695,42.303964654446695,42.303964654446695,42.303964654446695,39.29581509014291,38.81999999999996,38.344184909857006
2018-01-10,53.32191530918635,49.61638762574466,53.32191530918635,49.23955430200483,882.0,68929962.0,15.09,323000.0,0.0,0.0,0.0,71.5463309255811,71.5463309255811,71.5463309255811,71.5463309255811,71.5463309255811,42.456931764322974,39.45999999999996,36.46306823567694
2018-01-11,52.25422089192349,53.88716529479609,54.01277640270937,51.87738756818365,577.0,36582806.0,14.97,-72000.0,0.0,0.0,0.0,63.85179341994663,63.85179341994663,63.85179341994663,63.85179341994663,63.85179341994663,43.317852053118514,40.05999999999996,36.802147946881405
2018-01-12,50.87249870487743,53.38472086314298,53.949970848752734,50.74688759696415,412.0,23773457.0,14.69,-161000.0,0.0,0.0,0.0,55.52892776767462,55.52892776767462,55.52892776767462,55.52892776767462,55.52892776767462,43.41681350598419,40.38999999999996,37.36318649401573
2018-01-15,51.50055424444382,51.87738756818365,52.317026445880124,51.43774869048718,297.0,18631935.0,14.65,-24000.0,0.0,0.0,0.0,58.19625891381269,58.19625891381269,58.19625891381269,58.19625891381269,58.19625891381269,43.41116252878585,40.82999999999996,38.248837471214074
2018-01-16,52.69385976961996,52.191415337966845,53.76155418688281,51.87738756818365,399.0,23752502.0,14.63,-11000.0,0.0,0.0,0.0,62.76586616794499,62.76586616794499,62.76586616794499,62.76586616794499,62.76586616794499,42.87549990912716,41.499999999999964,40.12450009087277
2018-01-17,51.75177646027038,52.69385976961996,53.2591097552297,51.312137582573904,182.0,9692287.0,14.52,-63000.0,0.0,0.0,0.0,57.42865133003859,57.42865133003859,57.42865133003859,57.42865133003859,57.42865133003859,42.24599196784327,41.249999999999964,40.25400803215666
2018-01-18,52.06580423005357,51.87738756818365,53.2591097552297,51.87738756818365,138.0,9683613.0,14.51,-3000.0,0.0,0.0,0.0,58.68964671178962,58.68964671178962,58.68964671178962,58.68964671178962,58.68964671178962,42.18041657628645,41.21999999999997,40.259583423713494
2018-01-19,51.87738756818365,52.50544310775004,52.69385976961996,51.75177646027038,124.0,6897048.0,14.52,4488.0,0.0,0.0,0.0,57.587448112465445,57.587448112465445,57.587448112465445,57.587448112465445,57.587448112465445,42.02062469512592,41.379999999999974,40.73937530487403
2018-01-22,51.37494313653054,51.94019312214029,52.317026445880124,51.24933202861726,82.0,5592540.0,14.52,-3000.0,0.0,0.0,0.0,54.64053894675492,54.64053894675492,54.64053894675492,54.64053894675492,54.64053894675492,42.05108610173088,41.35999999999997,40.66891389826906
2018-01-23,51.186526474660624,51.50055424444382,51.87738756818365,51.186526474660624,82.0,5475775.0,14.52,1000.0,0.0,0.0,0.0,53.53420503531373,53.53420503531373,53.53420503531373,53.53420503531373,53.53420503531373,41.63613951602911,41.11999999999997,40.60386048397083
2018-01-24,52.7566653235766,51.186526474660624,53.38472086314298,50.935304258834066,414.0,24077739.0,14.52,3000.0,0.0,0.0,0.0,60.679131861073465,60.679131861073465,60.679131861073465,60.679131861073465,60.679131861073465,42.16226980000766,41.27999999999997,40.39773019999229
2018-01-25,52.25422089192349,53.63594307896954,53.63594307896954,52.191415337966845,132.0,7304755.0,14.52,-3000.0,0.0,0.0,0.0,57.62551933990856,57.62551933990856,57.62551933990856,57.62551933990856,57.62551933990856,42.223016976843994,41.309999999999974,40.396983023155954
2018-01-26,52.63105421566332,52.25422089192349,53.00788753940316,51.87738756818365,104.0,7676360.0,14.54,11000.0,0.0,0.0,0.0,59.28060996818911,59.28060996818911,59.28060996818911,59.28060996818911,59.28060996818911,42.45683981224166,41.42999999999998,40.403160187758296
2018-01-29,52.25422089192349,52.88227643148988,52.88227643148988,52.191415337966845,91.0,6063259.0,14.54,0.0,0.0,0.0,0.0,56.88773124402792,56.88773124402792,56.88773124402792,56.88773124402792,56.88773124402792,42.450000000002184,41.56999999999998,40.689999999997774
2018-01-30,51.688970906313735,52.25422089192349,52.25422089192349,51.688970906313735,69.0,3855701.0,14.53,-3000.0,0.0,0.0,0.0,53.40540707715201,53.40540707715201,53.40540707715201,53.40540707715201,53.40540707715201,42.243295878971345,41.64999999999998,41.05670412102861
2018-01-31,52.69385976961996,51.87738756818365,53.13349864731642,51.87738756818365,211.0,13648612.0,14.53,-1000.0,0.0,30000.0,0.0,58.29326861088941,58.29326861088941,58.29326861088941,58.29326861088941,58.29326861088941,42.210613704712344,41.63999999999997,41.0693862952876
2018-02-01,52.50544310775004,52.7566653235766,53.00788753940316,52.317026445880124,42.0,2258800.0,14.53,0.0,0.0,0.0,0.0,57.08410648453448,57.08410648453448,57.08410648453448,57.08410648453448,57.08410648453448,42.26172158289587,41.67999999999997,41.09827841710407
2018-02-02,52.191415337966845,52.88227643148988,52.88227643148988,52.12860978401021,48.0,3245038.0,14.53,0.0,0.0,0.0,0.0,55.03511824889708,55.03511824889708,55.03511824889708,55.03511824889708,55.03511824889708,42.15184868737158,41.60999999999997,41.06815131262836
2018-02-05,51.12372092070399,51.87738756818365,51.87738756818365,51.060915366747345,48.0,3227600.0,14.53,-2000.0,0.0,0.0,0.0,48.6421750727209,48.6421750727209,48.6421750727209,48.6421750727209,48.6421750727209,42.33906545419251,41.42999999999997,40.520934545807435
2018-02-06,47.85783211495877,50.24444316531104,50.24444316531104,46.53891548186935,245.0,13811904.0,14.52,-5000.0,0.0,1000.0,0.0,35.18043387131491,35.18043387131491,35.18043387131491,35.18043387131491,35.18043387131491,43.67418990258284,40.81999999999997,37.965810097417105
2018-02-07,48.36027654661188,48.10905433078532,49.23955430200483,48.10905433078532,83.0,4740875.0,14.5,-9000.0,0.0,0.0,0.0,38.022246298557675,38.022246298557675,38.022246298557675,38.022246298557675,38.022246298557675,43.21648667581863,40.129999999999974,37.04351332418132
2018-02-08,48.86272097826499,48.86272097826499,48.98833208617827,48.61149876243844,54.0,2603700.0,14.52,7000.0,0.0,0.0,0.0,40.81655396116445,40.81655396116445,40.81655396116445,40.81655396116445,40.81655396116445,42.22581763205323,39.54999999999997,36.87418236794671
2018-02-09,48.2346654386986,48.29747099265524,48.29747099265524,47.104165467479106,54.0,2888850.0,14.52,0.0,0.0,0.0,0.0,38.481053083456736,38.481053083456736,38.481053083456736,38.481053083456736,38.481053083456736,40.772133904447934,38.91999999999997,37.06786609555201
2018-02-12,48.29747099265524,48.98833208617827,48.98833208617827,48.29747099265524,44.0,2508700.0,14.51,-1000.0,0.0,0.0,0.0,38.85781701759437,38.85781701759437,38.85781701759437,38.85781701759437,38.85781701759437,38.98224993900133,38.46999999999997,37.95775006099861
2018-02-21,48.98833208617827,48.73710987035171,49.42797096387474,48.73710987035171,58.0,3551000.0,14.48,-19000.0,0.0,0.0,0.0,42.99363261208901,42.99363261208901,42.99363261208901,42.99363261208901,42.99363261208901,39.147995983926414,38.64999999999997,38.152004016073526
2018-02-22,49.61638762574466,48.98833208617827,49.61638762574466,48.98833208617827,45.0,2629600.0,14.5,9000.0,0.0,0.0,0.0,46.53431797323665,46.53431797323665,46.53431797323665,46.53431797323665,46.53431797323665,39.654984471903376,38.84999999999997,38.04501552809657
2018-02-23,49.74199873365794,49.867609841571216,50.05602650344113,49.49077651783138,50.0,2809750.0,14.5,4000.0,0.0,-10000.0,0.0,47.24011927034418,47.24011927034418,47.24011927034418,47.24011927034418,47.24011927034418,39.998761617037566,38.98999999999997,37.98123838296237
2018-02-26,50.05602650344113,50.18163761135441,50.18163761135441,49.80480428761457,20.0,1192900.0,14.5,0.0,0.0,-16000.0,0.0,49.050910813471084,49.050910813471084,49.050910813471084,49.050910813471084,49.050910813471084,40.2771960689893,39.279999999999966,38.28280393101063
2018-02-27,49.61638762574466,50.24444316531104,50.24444316531104,49.55358207178802,39.0,2497700.0,14.5,1000.0,0.0,0.0,0.0,46.6375983837755,46.6375983837755,46.6375983837755,46.6375983837755,46.6375983837755,40.0428109984505,39.48999999999997,38.937189001549434
2018-03-01,49.11394319409155,49.74199873365794,49.74199873365794,48.98833208617827,31.0,2915222.0,14.47,-21000.0,0.0,-2000.0,0.0,43.97474974756815,43.97474974756815,43.97474974756815,43.97474974756815,43.97474974756815,39.99332183895365,39.50999999999996,39.02667816104628
2018-03-02,48.86272097826499,48.79991542430835,49.11394319409155,48.73710987035171,31.0,1946539.0,14.46,-3000.0,0.0,0.0,0.0,42.663101408728295,42.663101408728295,42.663101408728295,42.663101408728295,42.663101408728295,40.07818602136951,39.389999999999965,38.70181397863042
