date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),RSI,SMA,MACD,CMO,ATR,BBANDS_upper,BBANDS_mid,BBANDS_lower
2018-01-02,43.76475116044955,43.65339047047386,43.876111850425254,43.65339047047386,43.0,1555473.0,21.83,-2000.0,0.0,0.0,0.0,51.7690992168386,51.7690992168386,51.7690992168386,51.7690992168386,51.7690992168386,19.705646599655577,19.57000000000004,19.434353400344502
2018-01-03,43.76475116044955,43.76475116044955,43.98747254040095,43.76475116044955,44.0,1183655.0,21.83,3000.0,0.0,0.0,0.0,51.7690992168386,51.7690992168386,51.7690992168386,51.7690992168386,51.7690992168386,19.68483314772612,19.610000000000035,19.53516685227395
2018-01-04,44.544275990279445,43.876111850425254,44.544275990279445,43.76475116044955,103.0,4086977.0,21.84,16000.0,0.0,0.0,0.0,61.83254244961247,61.83254244961247,61.83254244961247,61.83254244961247,61.83254244961247,20.008747549007666,19.690000000000037,19.371252450992408
2018-01-05,44.32155461032804,44.544275990279445,44.65563668025514,44.21019392035235,87.0,3540756.0,21.83,-20000.0,0.0,1000.0,0.0,58.102347364650484,58.102347364650484,58.102347364650484,58.102347364650484,58.102347364650484,20.078747549006952,19.760000000000037,19.441252450993122
2018-01-08,44.21019392035235,44.544275990279445,44.544275990279445,44.098833230376655,71.0,1992067.0,21.82,-24000.0,0.0,0.0,0.0,56.274333485396276,56.274333485396276,56.274333485396276,56.274333485396276,56.274333485396276,20.08856776554018,19.810000000000038,19.531432234459896
2018-01-09,44.544275990279445,44.098833230376655,44.544275990279445,44.098833230376655,65.0,2233353.0,21.82,7000.0,0.0,-1000.0,0.0,60.308798840444446,60.308798840444446,60.308798840444446,60.308798840444446,60.308798840444446,20.137681974531755,19.880000000000035,19.622318025468314
2018-01-10,44.21019392035235,44.544275990279445,44.65563668025514,44.21019392035235,71.0,3454770.0,21.82,-2000.0,0.0,0.0,0.0,54.85783958504595,54.85783958504595,54.85783958504595,54.85783958504595,54.85783958504595,20.055646599657248,19.920000000000034,19.78435340034282
2018-01-11,44.098833230376655,44.32155461032804,44.43291530030375,44.098833230376655,70.0,2195146.0,21.82,0.0,0.0,0.0,0.0,53.13387947769728,53.13387947769728,53.13387947769728,53.13387947769728,53.13387947769728,20.01564659965976,19.88000000000003,19.7443534003403
2018-01-12,44.32155461032804,44.098833230376655,44.43291530030375,44.098833230376655,59.0,1616734.0,21.82,4000.0,0.0,0.0,0.0,56.104987024992795,56.104987024992795,56.104987024992795,56.104987024992795,56.104987024992795,20.01564659965725,19.880000000000035,19.74435340034282
2018-01-15,44.32155461032804,44.32155461032804,44.544275990279445,44.32155461032804,66.0,2349669.0,21.84,21000.0,0.0,0.0,0.0,56.104987024992795,56.104987024992795,56.104987024992795,56.104987024992795,56.104987024992795,20.022664991607886,19.890000000000036,19.757335008392186
2018-01-16,44.87835806020654,44.544275990279445,44.989718750182234,44.21019392035235,189.0,8282402.0,21.85,24000.0,0.0,1000.0,0.0,62.92055386534007,62.92055386534007,62.92055386534007,62.92055386534007,62.92055386534007,20.16166091946794,19.920000000000037,19.678339080532133
2018-01-17,44.87835806020654,44.76699737023085,44.87835806020654,44.65563668025514,84.0,2866696.0,21.87,30000.0,0.0,-1000.0,0.0,62.92055386534007,62.92055386534007,62.92055386534007,62.92055386534007,62.92055386534007,20.267054001884237,19.98000000000004,19.692945998115842
2018-01-18,44.65563668025514,44.76699737023085,44.989718750182234,44.65563668025514,103.0,3216451.0,21.85,-27000.0,0.0,1000.0,0.0,58.69287908452318,58.69287908452318,58.69287908452318,58.69287908452318,58.69287908452318,20.254499443201087,20.03000000000004,19.805500556798993
2018-01-19,44.32155461032804,44.76699737023085,44.76699737023085,44.21019392035235,101.0,2751935.0,21.86,8000.0,0.0,0.0,0.0,52.946166250192796,52.946166250192796,52.946166250192796,52.946166250192796,52.946166250192796,20.254499443201087,20.03000000000004,19.805500556798993
2018-01-22,44.32155461032804,44.32155461032804,44.544275990279445,44.21019392035235,101.0,2688307.0,21.85,-18000.0,0.0,0.0,0.0,52.946166250192796,52.946166250192796,52.946166250192796,52.946166250192796,52.946166250192796,20.254499443201087,20.03000000000004,19.805500556798993
2018-01-23,44.32155461032804,44.544275990279445,44.544275990279445,44.32155461032804,78.0,2605428.0,21.84,-16000.0,0.0,0.0,0.0,52.946166250192796,52.946166250192796,52.946166250192796,52.946166250192796,52.946166250192796,20.185912602814362,19.98000000000004,19.774087397185717
2018-01-24,44.21019392035235,44.21019392035235,44.32155461032804,44.098833230376655,111.0,2962875.0,21.86,34000.0,0.0,0.0,0.0,50.87244908141626,50.87244908141626,50.87244908141626,50.87244908141626,50.87244908141626,20.055646599656413,19.920000000000037,19.78435340034366
2018-01-25,44.43291530030375,44.32155461032804,44.544275990279445,44.21019392035235,65.0,2929827.0,21.86,6000.0,0.0,0.0,0.0,54.694371303780606,54.694371303780606,54.694371303780606,54.694371303780606,54.694371303780606,19.963245553184684,19.90000000000004,19.836754446815398
2018-01-26,44.65563668025514,44.43291530030375,44.65563668025514,44.32155461032804,140.0,5650668.0,21.88,37000.0,0.0,0.0,0.0,58.19666337534299,58.19666337534299,58.19666337534299,58.19666337534299,58.19666337534299,20.065646599655576,19.93000000000004,19.7943534003445
2018-01-29,45.212440130133636,44.76699737023085,45.32380082010934,44.76699737023085,210.0,8304658.0,21.89,2000.0,0.0,0.0,0.0,65.39817816944765,65.39817816944765,65.39817816944765,65.39817816944765,65.39817816944765,20.328747549006955,20.01000000000004,19.691252450993126
